date,time,ip,urlrequested,agent,referrer,search,nation,os,browser,searchengine,spider,feed
"20191119","15:23:14","77.173.83.254","","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:23:22","77.173.83.254","/hechting-gehecht-zijn-hechtingsstijlen/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:23:47","77.173.83.254","/hechtingsproblemen/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/hechting-gehecht-zijn-hechtingsstijlen/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:23:58","77.173.83.254","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:24:20","77.173.83.254","/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:24:40","77.173.83.254","/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:24:47","77.173.83.254","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:29:15","94.198.159.219","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","Windows 10.0","Safari","","",""
"20191119","15:29:15","94.198.159.219","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","Windows 10.0","Safari","","",""
"20191119","15:29:16","94.198.159.219","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","OS X El Capitan","Safari","","",""
